gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_True,MultipleLines_No phone service,InternetService_Fiber optic,InternetService_No,OnlineSecurity_True,OnlineSecurity_No internet service,OnlineBackup_True,OnlineBackup_No internet service,DeviceProtection_True,DeviceProtection_No internet service,TechSupport_True,TechSupport_No internet service,StreamingTV_True,StreamingTV_No internet service,StreamingMovies_True,StreamingMovies_No internet service,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,1,17,1,1,64.69999694824219,1093.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,1,1,0,71,1,1,96.3499984741211,6766.95,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
1,1,1,0,2,1,1,95.5,181.65,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,1,27,1,0,66.1500015258789,1874.45,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,1,0,20.200000762939453,20.2,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,1,0,0,1,1,0,45.25,45.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,72,1,0,99.9000015258789,7251.7,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,0,0,0,5,1,1,69.69999694824219,316.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,46,1,1,74.80000305175781,3548.3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,34,1,1,106.3499984741211,3549.25,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,11,1,1,97.8499984741211,1105.4,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,0,1,1,10,1,0,49.54999923706055,475.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,70,1,1,69.19999694824219,4872.35,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0,0,1,1,17,1,0,20.75,418.25,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
0,0,0,0,63,1,1,79.8499984741211,4861.45,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0
0,0,1,0,13,1,1,76.19999694824219,981.45,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,49,1,1,84.5,3906.7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,2,1,0,49.25,97.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,1,1,80.6500015258789,144.15,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,52,1,1,79.75,4217.8,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0,0,1,1,69,1,1,64.1500015258789,4254.1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
0,1,0,0,43,1,1,90.25,3838.75,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,15,1,1,99.0999984741211,1426.4,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,1,1,0,25,1,1,69.5,1752.65,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1,1,0,8,1,1,80.6500015258789,633.3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,60,1,1,74.8499984741211,4456.35,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
1,1,0,0,18,1,1,95.44999694824219,1752.55,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,1,1,63,1,1,99.6500015258789,6311.2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
1,1,1,1,66,1,1,108.44999694824219,7076.35,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,0,1,1,34,1,0,24.950000762939453,894.3,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,72,1,1,107.5,7853.7,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,1,0,47,1,1,100.5,4707.1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,0,0,0,60,1,1,89.9000015258789,5450.7,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,0,72,0,0,42.099998474121094,2962.0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,18,1,1,54.400001525878906,957.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0,0,0,0,9,1,0,94.4000015258789,857.25,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,3,1,1,75.30000305175781,244.1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1,0,1,0,47,1,1,78.9000015258789,3650.35,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,31,1,0,79.19999694824219,2497.2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,1,1,50,1,0,20.149999618530273,930.9,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,10,1,1,79.8499984741211,887.35,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,1,0,49.04999923706055,49.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,1,52,1,1,20.399999618530273,1090.65,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
1,1,1,1,64,1,1,111.5999984741211,7099.0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,1,1,62,1,1,24.25,1424.6,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,0,1,3,1,1,64.5,177.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,56,1,0,110.5,6139.5,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
0,0,0,0,46,1,0,55.650001525878906,2688.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
0,0,1,1,8,1,0,54.650001525878906,482.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,30,1,1,74.75,2111.3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,1,1,45,1,1,25.899999618530273,1216.6,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
0,0,0,1,1,1,1,79.3499984741211,79.35,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1,1,11,0,0,50.54999923706055,565.35,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,1,0,7,1,1,75.1500015258789,496.9,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,42,1,1,103.80000305175781,4327.5,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,0,1,0,49,1,1,20.149999618530273,973.35,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,9,1,1,99.30000305175781,918.75,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,35,1,1,62.150001525878906,2215.45,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,1,48,1,0,20.649999618530273,1057.0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,1,1,46,1,1,19.950000762939453,927.1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,1,0,29,0,0,33.75,1009.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,1,1,30,1,0,82.05000305175781,2570.2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,74.69999694824219,74.7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,1,1,66,1,1,84.0,5714.25,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,0,0,65,1,1,111.05000305175781,7107.0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,72,1,1,100.9000015258789,7459.05,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0,12,1,1,78.94999694824219,927.35,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,71,1,1,66.8499984741211,4748.7,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1,0,0,0,5,1,0,21.049999237060547,113.85,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,0,0,52,1,0,21.0,1107.2,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,1,1,0,25,1,1,98.5,2514.5,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,0,0,0,1,1,0,20.200000762939453,20.2,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,0,1,1,1,1,0,19.450000762939453,19.45,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,38,1,0,95.0,3605.6,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
0,1,1,0,66,0,0,45.54999923706055,3027.25,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,68,1,1,110.0,7611.85,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,5,0,0,24.299999237060547,100.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,72,1,1,104.1500015258789,7303.05,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
0,0,0,0,32,0,0,30.149999618530273,927.65,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,43,1,0,94.3499984741211,3921.3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
1,0,1,1,72,1,0,19.399999618530273,1363.25,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
1,0,1,0,55,1,1,96.75,5238.9,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,52,1,0,57.95000076293945,3042.25,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0,0,0,0,43,1,1,91.6500015258789,3954.1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,1,1,0,37,1,1,76.5,2868.15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,64,0,1,54.599998474121094,3423.5,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
1,0,1,1,3,1,0,89.8499984741211,248.4,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,36,0,0,31.049999237060547,1126.35,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,10,1,1,100.25,1064.65,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,41,1,0,20.649999618530273,835.15,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,1,1,27,1,1,85.19999694824219,2151.6,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,1,1,56,1,1,99.80000305175781,5515.45,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
0,0,0,0,6,1,0,20.700000762939453,112.75,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,0,0,3,1,1,74.4000015258789,229.55,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,7,1,0,50.70000076293945,350.35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,4,1,0,20.850000381469727,62.9,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,0,0,33,1,1,88.94999694824219,3027.65,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
0,1,0,0,27,1,1,78.05000305175781,2135.5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,72,1,1,23.549999237060547,1723.95,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,1,1,0,19.75,19.75,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,1,0,0,71,0,1,56.45000076293945,3985.35,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
0,0,0,0,13,1,1,85.94999694824219,1215.65,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,1,25,0,1,58.599998474121094,1502.65,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,67,1,0,50.54999923706055,3260.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,1,35.45000076293945,35.45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,2,1,0,44.349998474121094,81.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,43,1,1,25.700000762939453,1188.2,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,23,1,1,75.0,1778.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,64,1,0,20.200000762939453,1277.75,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,0,1,57,1,1,19.600000381469727,1170.55,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,1,1,0,1,1,1,70.44999694824219,70.45,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,72,1,1,88.05000305175781,6425.65,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,0,8,1,0,71.1500015258789,563.65,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,0,1,0,61,1,1,101.05000305175781,5971.25,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,64,1,1,84.30000305175781,5289.05,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,71,1,0,23.950000762939453,1756.2,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,1,1,65,1,1,99.05000305175781,6416.7,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
1,0,0,0,3,1,0,19.600000381469727,61.35,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
1,0,0,0,1,1,1,45.650001525878906,45.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,30,1,0,64.5,1929.95,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1,0,1,1,15,1,1,69.5,1071.4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
0,0,1,1,8,1,1,68.55000305175781,564.35,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1,0,0,0,7,1,0,95.0,655.5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,1,1,70,1,1,108.1500015258789,7930.55,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0
1,0,1,1,62,1,0,86.0999984741211,5215.25,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
0,0,1,1,6,1,0,19.700000762939453,113.5,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,0,1,1,14,1,1,80.9000015258789,1152.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,22,1,1,84.1500015258789,1821.95,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,1,22,1,0,20.149999618530273,419.9,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
1,0,1,1,16,1,0,64.25,1024.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,10,1,0,25.700000762939453,251.6,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,0,1,13,1,1,56.0,764.55,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,20,1,0,82.4000015258789,1592.35,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,2,1,1,69.69999694824219,135.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,53,1,1,73.9000015258789,3958.25,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,1,11,1,0,20.600000381469727,233.9,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
1,0,1,0,69,1,0,19.899999618530273,1363.45,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0,0,0,4,1,1,70.9000015258789,273.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,72,1,1,89.05000305175781,6254.45,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,1,1,0,58,0,1,45.29999923706055,2651.2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,1,16,1,0,20.399999618530273,321.4,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,43,1,1,84.25,3539.25,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,1,0,2,1,1,104.4000015258789,242.8,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
1,0,1,0,14,1,0,81.94999694824219,1181.75,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,1,0,53,1,1,94.8499984741211,5000.2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
0,0,0,0,32,1,0,20.549999237060547,654.55,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
0,0,1,0,34,1,0,24.700000762939453,780.2,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,1,0,0,15,1,1,74.44999694824219,1145.7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,7,1,0,76.44999694824219,503.6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,15,1,1,105.3499984741211,1559.25,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,0,1,0,61,1,1,20.549999237060547,1252.0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
0,0,0,0,1,0,0,29.950000762939453,29.95,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,45.29999923706055,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,8,1,0,84.5,662.65,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,33,1,0,74.75,2453.3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
0,0,0,0,13,1,1,79.25,1111.65,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,1,0,1,24.799999237060547,24.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,20,1,1,51.79999923706055,1023.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,3,0,0,30.399999618530273,82.15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,13,1,0,19.649999618530273,244.8,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
0,0,1,0,40,1,0,56.599998474121094,2379.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,43,1,1,71.9000015258789,3173.35,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1,0,1,0,6,1,1,91.0,531.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
